text;label
wah pas menonton berita ada yang dilamar pas wisuda jadi ingin aku itu tapi yang nak melamar pon siapa;2
sebenarnya tak ada ciri punyan bila sudah sayang someone itu dia gelap punyan kita suka dia punyatih punyan kita suka dia tak hensem punya;1
teman teman yang ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dan sebagainya;0
antara ayat penipuan paling besar jap tengah siap on the way tak study pun tidak ada kredit lah pakakaki duit kakak;1
izinkan aku mengupload ini;1
aku merasa seperti aku tidak bisa melakukan apapun tanpa elfungmin;2
dalahm instagram facebok twitter cantik depan depan tak ada lah cantik mana bagitahu akuekarangiapa je yang nak upl;2
bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumat berkah;0
sebegitu kangennya ya mbak sama aku;0
kamu jangan lupa salat dzuhurnya;1
life skang aku simplekan je aku tak suka aku tak layan itu je penat natural killer jaga hati orang je pikir diri sendiri dulu;1
bayangkan kalau posisi kamu lagi di bwah dan orang lain melihat kita rendah karena materi yang kita punya;2
hidup ini adalah pilihan yang harus kamu pilih;0
tiap salam buat suami aku exo di korea pak;1
lah haha maaf akualah paham;2
receehh ah kamu;2
masalah pinjam lighter bang pinjam lighter jap oke light kena berdiri jap sedup satu pam sini hembus dulu sebab nak ucap;1
sekurang kurang nya rm kalau budak yang miskin kamu natural killer suruh macam mana meminta sedekah ke setelah itu bila tak cukup kamu;2
tidur tak buka kipas orang aircond soalnya takut the kitten sejuk nanti bangun approximately every hours just sebab dia menangis l;1
if sih keli itu boleh jadi femes apantah lagi aku kan haha;0
hati aku kecewa aku sedih aku aku seorang je tahu orang lain tak tahu;2
mau beli barang di shupe harganya sepuluh ribu tetapi ongkirnya ribu kesal banget deh wheres the justice though aku jadi kayak be;2
aku masih butuh selang waktu untuk mengerjakan visualisasinya biar mampus kalian menunggu sampai kali rasakan p;2
kok begitu sama aku;2
aku kira aku introvert ternyata juga pedopil;2
p sama itu pagi apa samaalasama ya pagiudah pernah coba trik pancing samaesamaancing kayak begitu b;1
sayang lagi sakit jadi aku harus sentiasa ada buat sayangku;0
oh my tidakod kamu jantidakan buat aku tidak kentaki fried chicken ppatidaki cmni;2
mamak nih nak try aku ke apa;1
ada yang mau serius tapi aku nya masih raguu bagaimana dong ya sudah jangan dikasih harapan dianya kasiaan;2
tomorrow i will date dengan yesterdays kamu film aku unduh sebab katanya sedih k start film sampai akhir duk pikir t;1
i liked a video aku tanya pak jokowi pakai bahasa jawa;0
kalau jadi atasan tidak usah sombong deh menindas karyawan apa kamu langsung jadi milyuner melarang orang tidak masuk karena ada;2
aku tidaktau nih bang definisi berhasil apa tidak;1
sama aku kapan;1
aku main ww deg degan mulu wkwk id kamu apa;1
kayak woojin kesringan barengih dasar anak kembar;2
okaay nggapapaa aku meminta doyoung saja terima kasih ya;0
kalau tak bersungguh nak jaga aku boleh je berhenti berpura aku boleh jaga diri aku tanpa memaksa kamu kamu tak perl;2
aku jual;1
dulu waktu kecil aku bercita cita ingin menjadi seorang penghianat;2
wow belikan buat aku dong;1
aku terima nikahnya dengan mas kahwin bacaanurah al fatihah dear future istri nanti kita kahwin saya sedekahkan al fat;0
le makan samyang yuk aku sudah lama tidak makan samyang sudah lama jutidak tidak disayang;0
itu lah dulu aku paling malas natural killer kutip sebab malu kot mintak duit kita orang;2
rama tidak usah ganggu aku sama karya ya tolong;2
jangan begadang jangan minuman soda jangan kamu pilih dia pilihlah aku yang mampu mencintamu lebih dari dia;2
pergi kedai bawa lah adik aku teman pasti paman itu tanya nih anak kamu ke muka sama haha muka aku macam orang sudah kawin ke doh;0
amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara;1
aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu sebelum jawab;1
tadi memikirnya begitu ingin marah juga tetapi apalah aku ini hanya orang kecil tidak punya pengaruh jadi marahnya kamu kwkwkwk;2
aku suka mie sedap kalau di tumis ulang pakai bawang merah bawang putih telur daun bawang irisan ca;0
sebenarnya ramai sifu properti approach aku untuk join kelas investment etcemua cerita beli rumah murah dan sewakan;1
kamu sudah salat jumat belum letsfridaypray;1
nak tunggu orang reply email memang lambat ah citenya aku nak settle kan bulan nih juga;2
rlt mutualan yu yang tidakumasalah akuu suka rt in tidaku sama twit receh rt ya dan akuu ada tapi ikuti kalau ngtidaku maafkan aku;2
giveaway ina only adakah yang masih menunggu wdtv sampai hampir gila kayak aku help dong doa boleh sekalian;1
semoga kamu jadi salah satu dari ahabat yang beruntukung mendapatkan pulsa k ya jangan lupa like dan ajak teman kamu untuk;1
sedarah aku buat hal pergi kenduri kahwin lepas iitu ramai sangat orang lepas iitu risau tak dapat tempat duduk maka htt;2
jika aku jadi ratumu maka pasti kamu rajanya ya kan;0
aku baru je tukar tayar depan myvi sepasang rm semalam;1
halo tadi aku berselancar di twit tentang belanja di gmarket begitu terus menemukan km pernah beli album di gmarket;1
boleh kot kalau nak buat insta cerita takyah jerit banget kamu telinga aku cukup biasa pun orang sudah dengar;2
orang selalu kata aku penat when dia sebenarnya tengah rasa sedih;2
aku beria sekalipun bukannya kamu nak appreciate;2
aku nak buat nih ti;1
pipi nya cubit pipi kamu memang mau nya di cium di mana;1
aku harap dia tak jual fhone dia semata nak beli xs itu;2
mesamang best tengok ikan datang aku pon pernah buat dekat pulau bagi samakan roti tapi perbuatan itu salah ikan sini sama;1
kalau aku bacanya sih memang kamu yang mengetik tidak jelas wkwk;1
aku penggemar mie burung dara enaknya menyambung terus;0
assalam macam mana lelaki boleh ingat jalan jauhelekoh belok tanpa rujuk maps even pernah pergiekali je kalau aku;2
kalen kalen pada jahad sama aku;2
weyhh tolonglah paham aku sakit kamu langsung tak kesah aku baru balik daripada klinik aku gagahkan badan aku untuk;2
lebih baik aku seperti kopi yang dibiarkan membasi daripada kamu sapa tapi sekadar basa basi;2
giveaway pulsa k untuk orang pemenang caranya retweet dan follow akun aku saja ya pemenang aku mengumumkan tangga;1
nihh kalau suami aku panggil sayang macam nihh were pergi make babies right after;0
apa kamu;1
aku confuse dengan penjual kita malaysia nih macam asyik tunjuk kekayaan je nak jual ke nak show off tunjuk kekayaan then;2
be strong bro;0
pernah pasi masiih mengajar privat begitu adik kakak muridnya adik aku akhir pekan ini mau ke sipore misisi pernah ke si;1
aku dok bayang macam alien keluaq dari dada;1
dii antara buku buku kesukaan yang kaubaca sampai malam kian jauh dian sendiiri aku ingin jadii buku yang menelungkup dii di;0
adik aku yang darjah setibanya masuk bilik pasti bagi pantun bread is rotihadow is bayangebelum akak mati better;1
fastga gifwinner palinguka pakai banget yang ini yoon as the cutest and mino pampers him;1
laki pun ada je ayat nih lahai;1
diam tak berarti kamu kalah kadang itu hanya berarti kamu tak ingin berdebat dengan orang yang bahkan menolak untuk mendengarkan;1
tengok nih;1
tls followan sama aku ayo rep rt kita berteman;1
isteri tak sehat sejak semalam macam biasa aku keluar pagi jam am dia yang akan hantar anak ke tadikan taska but to;1
cerita hari ini aku baru beli hamster biar tidak kesepian saja sih di rumah aku pandaang terus mereka berdu;0
aku tidak haha cuma bawa tas selempang kecil saja sudah kemana;1
biasanya lewat jalur mana ke arah kampung kamu;1
sudah tidak usah bawa perasaan dia itu mengetik cuma pakai jari jadi kamu bacanya pakai mata saja tidak usah pakai hati;2
tak perlu takut untuk meninggalkan sesuatu yang tidak menghormatimu masih banyak kesempatan untukmu menjadi lebih terhormat jika kamu berani;0
hati aku kecewa aku sedih aku aku seorang je tahu orang lain tak tahu;2
let me make this clear apaadan dalam hidup danih kadan kalau kita xrasa gagal kita xkadan ada motivasi dan;0
mau aku postedih karena tidak bisa menonton homeshake amp mild high club di jakaa dan cosmo pyke diingapore;2
ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahanam dari fitnah hidup dan mati dan dari f;0
rlt yang suka jb yuk followan aku butuh teman mengobrol tidak cuma butuh pengikut rt saja ya;1
mesamang best tengok ikan datang aku pon pernah buat dekat pulau bagi samakan roti tapi perbuatan itu salah ikan sini sama;1
kuis lagi kuis lagi memang daihatsu baik banget yaahabat bagi bagi hadiah pulsa terus kuis kali ini kamu harus menebak;0
kalau tak bersungguh nak jaga aku boleh je berhenti berpura aku boleh jaga diri aku tanpa memaksa kamu kamu tak perl;1
ab yang budak cinta exo mutualan ayo rt rep ya dan aku ada nya janji ikuti kenalan ya;1
sakdurunge koe dadi uler aku sudah dadi kupu dadi saranku rasah perlu ngetoke goblokmu nganggo coro mbanggake bab nakalm;2
stay beside kamu was my job hehe sayang kamu;0
sebenarnya aku tidak apa apa sih which is itu itu penting banget kan karena english itu literally international language tetapi prefer bah;1
sudah lah cpk aku;2
sedih bila aku dengan cerita dari patient aku huhu makcik nih masuk ward sebab heart attack baik sangat suka tegur aku senyu;2
benda yang aku rasa tak perlu nak bawa gurau rupa paras bentuk badan insecurities kita contohnya kita gagap pas;1
tidak kok aku jutidak pakai bagpack;1
haha terhibur beitul lah wkwk semua tempat dia tiful kan ingat ke aku seorang je perasan salah ketik dekat caption itu;0
aku meninggal nanti aku harap tak adalah orang yang post gambar kubur aku letak caption panjang lebaq kamu sedekah al;1
aku ingatkan berhari hari tidak ada data ada lah orang cari aku dekat sudah rupanya tidak ada lahngsong;1
baca nih aku tergolong orang yang kayak;1
fams sama aku yuk;0
hari kalau tidak brape jam je boleh mati kamu otak aku;1
hi semuanya aku adakan give away nih give away nya album bts yang love yourself answers hore cukup follow dan retwee;1
sembang dengan budak legend aku kamu belajar kat mana main ml memboi;1
aku menangis nih;2
bts aku sedang sibuk menafkahi keluargaku dan mengejar impianku army aku sedang sibuk menafkahi orang yang sudah je;1
aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kasihan dan mudah memaafkan;0
aku ditusuk dari belakang sakit;2
asksamaf ayah aku ayah kan tidak suka pedas tetapi kenapa samaasakan samaasamaa yang pedas tetap ayah samaakan soalnya samaasamaa kasamau sama;1
aku tahu kalau check in the girls akan idamkan peluk sambil tidak but then tak rasa kebas ke lelaki statik je tidak macam itu na;1
tahukah kamu eptember diperingati sebagai hari kunjung perpustakaan peringatan ini dimulai sejak tahun oleh p;1
aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu sebelum jawab;1
nctea selama ini aku cuma tau fotonya jisung saja yang di sini dan sekarang sudah tau video nya mission complete hypertext transfer protocol over secure socket layer;1
tadi kita danpur natural killer makan aku nyanyi lah lahgu aizat jika ku air wudhukmu menjadi serimu danlahm lima wakitau mak pun sound dan;1
selama nih memang ketinggian tk pernah jadi penghalang rupa yang selalu menjadi penghalang;2
sedihnya rasa kadang kadang bila doa yang aku doa termakbul walaupun aku bukan hambanya yang terbaik allah tau apa yang kita pe;2
aku tambahkan deh nih;1
i baru a hem mengecewakan hang takmau a itu mau kat aku;2
aku pernah ketemu lisa blackpink lagi salat di mesjid thailand dia wudhu juga aku lihat;1
wkwk begitu lt berdoa saja kamu lip yang banyak semoga ganteng wowognya;0
aku macam tahu je siapa bdhshshhs;1
tapi aku tgok lelaki asia pun paling banyak lpas kawin badan naik dan boroi;2
kamu akan tanya karena aku pun juga mau tanya;1
sudah tau ikon dari jaman menang yang aku suka pertama itu taehyun terus suka yunhyeong aku dukung ti;0
aku lagi baca buku ini yang suka puisi yuk reply halamannya dari sampai nanti aku foto rlt;1
kenapa nama kucing sama dengan nama aku;1
gila belikan aku dong kak;0
aku jual yang penting emailnya masih aktif;1
ayo siapa lagi yang mau;1
freebies alle yuk cari aku di tempat dan ikuti rules di gambar ini untuk mendapatkan freebies idealcutinjkt apinkinjkt;1
woojin apa jihoon apa;1
kahkah itu lah aku confuse nih hem;1
wanita yang paling malang di dunia adalah wanita yang tersalah pilih suami isteri adalah cerminan suami cantik suamimu cant;2
tidak yang ini aku masih pilih pemenangnyausah komentarnya pada bagus jadi bingung pilihnya tunggu sebentar lagi okem;1
bila cg intai kertas exam masa kamu buat;1
me doin math paper hshshshshshsh bodoh asal takama dengan jawapan aku hshshssh minit lagi tembak;2
gila punya perempuan gaduhikit sampai bulan tak tegur lelaki gaduh hari nih esok sudah stable sesama;2
mau acc kamu jadi ramai yuk unfollow di aku begitu lt harga dan rules bisa cek pinned ya t unfollow rupiah;1
yantidak aku blja a yantidak kuar ujian b yantidak aku jawab c dan aku dapat tidakred tidak eh taknk lah ytidak dapt betul a;2
wao ada ainul ada manul dekat gtdc tapi tulah aku takdak ah kat situ baik balik boh;1
kalau kamu mau dihormati harus mau menghormati;0
aku daftarr tidak jfclosedday;1
makin aku besar makin banyak perkara yang aku pendam dan tak kongsi dengan orango jangan pelik kalau aku sudah tak kuat semb;2
tolong lah setiap hari itu sebelum tidur tanya diri sendiri dan self reflect perangai babi sampah apa iya aku buat hari ini;0
tadi pamitnya tidur tapi aku cek instagram di direct message kamu kok ada hijau hijaunya ya;2
bibi adikku sih cantik suka banget lihatnya kalau kamu lagi senang tidak tau kenapa jadi ikutan senang bi pos;0
jangan jadi kompor kamu ya jeffan;2
aku ikut habib lutfi saja rois aam jamiyyah ahlith thariqah al mutabarah an nahdliyyah yang meminta menurunkan bendera yang k;0
oh my god kamu harus melihat ini bigolive;0
oh buatpa weh dekat dengan aku sudah itu haha;1
erm macam tautau je apa yang aku pelukan sekarang;1
orangnya ganteng wangi murah senyum asyik lemah lembut tapi mengetik aku masih aku selamat tinggal mas;2
my dear pengikut and friends kalau korang ada buat photoshoot makanan tolong direct message aku tolong direct message aku price untuk photoshoot fo;1
boleh mintak dilan satu bila dengar dilan sebut semua nih kan kamu tak akan rasa geli tau konon macam nak kata dia jiwang and;1
jadi dirimu sendiri agar ketika seseorang mencintai kamu tak perlu takut jika dia akan temukan dirimu bukan orang;0
aku naik bas ke bot ini;1
coba posisinya dituker deh kamu suka makan aku suka masak;1
giveaway diadakan dalam rangka bday guanlin mau tambah teman monbebe amp nctzen;1
meminta ais batu je lah anjir;2
iya sabar aku adalah tiap ada jeno selalu melesat mengetag kamu;2
oh my god batuk aku berdarah adakah ini jumat yang terakhir;2
untung mak aku ada anak yang suka tangkap gambar nih cuba teka umur dia berapa;1
ku tak marah kamu kacau tidurku tiap pagi genggamanmu kecil hanya muat satu jari tapi di dalam kampung hatiku kamu gergasi;1
orang orang nih pasti pikir kalau crazyrichsurabayan tampilannya perlente pakai barang mewah dari atas sampai bawah tapi bias;1
giveaway pulsa k untuk orang pemenang caranya retweet dan follow akun aku saja ya pemenang aku mengumumkan tangga;1
